,text,label
10,(bkz:zevk alınan ufak sapıklıklar/#98129520),Unrelated
11,(bkz:lenfadenopati sendromu),Unrelated
12,içinde bulunduğum hastalıktır kendileri. yediğinin içtiğinin sana zehir zıkkım olmasını sağlayan hastalık türü.,Unrelated
13,"gecenin bi yarısında uyandıran boktan ağrıdır. geceleri inanılmaz ağrı yapar ağrının zirvesidir. sabah kalkıncada aynı şekilde. gündüzde sinir bozucu ve can yakıcıdır ama gece ve sabah saatlerinde bu ağrı daha çok can yakar.edit: tipini siktiğim gene geldi.edit: 2019 şubatından selamlar, yine geldi.eylül 2019 editi: ulan iyiki eylül bitmeden hastalanmadık diye seviniyordum, yine sağ çıkamadım. tıpkı önceki eylüller gibi...",Unrelated
14,"nedensizce ortaya çıkan yeni hayat arkadaşım. yeni dediğime bakmayın üç dört ay olmuştur. ilk zamanlar uğultuyken sonra çınlamaya dönüştü. bir sürü doktor gezdim, ilaçlar kullandım vesaire ama geçmedi üstüne arttı. bıraktım zaten tedaviyi, çoğu ilaç işe bile yaramıyor çünkü bir milyon nedeni var bu tinnitusun o yüzden ilaç işi bile şans. kulübe katılan arkadaşlara başarılar diliyorum, ağlanıp sızlanmayın onunla barışın anca öyle çekilebilir oluyor.edit: bir aydan fazladır çınlama şiddeti arttı. artık rahatsız edici seviyede benim için ama yine yapabilecek bir şeyim yok. yüksek sesli ortamdan kaçınmaya çalışıyorum sadece. tek problem uyuma öncesi can sıkıyor olması.",Mixed
15,haftasonuna yakın ufak ufak ağrımaya başlar ya. heh işte o an dersin gitti güzelim haftasonu.,Unrelated
16,"devam ettiği sürece kişinin hayatını ciddi manada olumsuz etkileyen rahatsızlık.benim hikayem bir gece vakti başladı. 00:30 gibi sapasağlam girdiğim yatakta saat 3 civarı ne olduğunu anlamadığım bir hisle uyandım. gözümü açmadan hissettiğim boşlukta düşüyorum gibi bir his ve mide bulantısıydı. gözlerimi açar açmaz, odanın resmen fırıl fırıl döndüğünü gördüm. yerimden kalmak istedim yapamadım. biraz hafifledi, gittim kustum. daha önce öyle bir baş dönmesi yaşamayınca korktum ama çokta pimpirikli değilimdir, heralde üşüttüm, tansiyonum düştü galiba diye düşündüm. yattım 5 dakika geçti geçmedi sola dönmemle her yer yeniden dönmeye başladı. sanki lunaparkta balerine binmişim gibi bir his. tabi tekrar mide bulantısı. o gece defalarca yaşadım bunu. anlamlandıramadım. sabah oldu ayağa kalktım, üzerimde sersemlik var ama geceki kadar kötü değildim. işe gittim, iyi hissetmesem de idare ettim. ayaktayken hiçbir an öyle fırıl fırıl bir dönme hissi yaşamadım. ta ki işten eve gelip uzanana kadar. uzanmamla dünyanın dönmeye başlaması bir oldu. anladım ki bu öyle kendi kendine geçecek bir şey değil. bir kbb uzmanına gittim. tanı olarak bppv kondu. manevra hareketleri uygulandı. ilaca gerek görülmedi. o geceyi rahat atlattım, ertesi geceyi de. artık geçti sanıyordum ki tekrar başladı. doktor yolu yine göründü tabi. bu defa doktor bi takım tetkikler istedi. neyse ki baş dönmelerinin altında başka bir sebep çıkmadı. fakat ilaca başlattı. minimum 3 ay kullanmam gerekiyormuş bu ilacı. ilk 15-20 gün araba kullanma dedi.rahatsızlığın ilk 10 günü gerçekten korkunçtu. bir çok gece defalarca ayağa kalkamayacağım şiddette baş dönmeleri yaşadım. acaba psikolojik mi diye kendimden bile şüphe eder oldum. sadece yattığımda başımın dönmesi birçok kişiye manasız geldi. nihayetinde hafifledi artık.",Scientific
17,"alkolü sırf bu iğrenç durumu yaşamamak adına 2 birayla sınırlayan insanım. ağrı, sızı gibi şeylere direncim vardır ama buna isyan edecek derecede dayanıksızım. ömrümde ilk defa*bugün, ekürisi mide bulantısı ile birlikte beni ziyaret ettiler. sabah yataktan çıktığım an hafif sendeledim. halbuki yatarken pek bir şey yok gibiydi. bir şeyler yersem geçer diye düşünüp hemen sofraya geçtim ama yemek de mide bulantımı arttırmaktan başka bir şeye yaramadı. bu arada da geçenlerde gülerek okuyup kendi kendime dalga geçtiğim ""auto brewery syndromemu yaşıyorum acaba?"" diyorum. olayın ciddiyetinin farkında değilim yani.bir düzelme olmayınca internete bir danışayım dedim onda da tatmin edici bilgi yok. neyse ki sözlük hala sözlükken yazılan deneyimler varmış da burayı şukela modunda okuyunca kendime kabaca bir teşhis koyupşöylebir videoya gittim. bahsedilen şeyi yapmak midemi ağzıma getirse de hareketi tamamlamayı başardım. ardından telefonu fırlatıp 20 dakika kadar yattım. şu an hala yatıyorum ama resmen kendime geldim. yatışım tamamen tembellikten*.yazılanları okuyunca bayağı dehşete kapılmıştım. bir sürü tetkik, yanlış teşhis, tedavi yöntemi vesaire. şimdi de bir sabah uyanıp belden aşağımın felç olduğu düşüncelerinin eşliğinde bu satırları yazıyorum. sapasağlam yatıp sabah alkollü gibi uyanılıyorsa o da mümkündür sanırım. sağlık her şeyden önemli cidden. burayı okuyorsan muhtemelen sen de benzer bir şey yaşayıp panikle burayı buldun. böyle basit bir yöntemle, çabucak atlatman dileğiyle. geçmiş olsun.",Non-scientific
18,ne yaparsan yap hangi ilacı kullanırsan kullan 7 günden önce geçmez.,Scientific
19,kısın bogazınıza atkı esarp vb.. takmayınca basınıza gelebilecek durum,Unrelated
20,"snowboard yaparken geçirdiğim bir kafa travması sonrası bana yadigar kalan meret! her iki kulağımda da çınlama var. sol kulak arada sussa da, sağ kulak aralıksız çınlıyor. doktorumun söylediğine göre düşme esnasında darbeyi başımın sağ arkasından aldığım için böyle. zaten çınlama yadigar kalan dertlerin en önemsizi maalesef!neyse, yine doktorumun söylediğine göre benim gibi vakalarda bir kez tetiklendikten sonra tedavisi yok, tinitus’la yaşamayı öğrenmeniz gerekiyor. yine de ilk başlarda bir umut araştırma yaparken, kafa travmasına bağlı olmayan ve düğünde havaya ateş edip bu hale geldiğini söyleyen biriyle karşılaşmıştım. kendisi deneysel bir tedaviyi denemek üzere ingiltere’ye gidiyordu. sonrasında ne olduğunu bilmiyorum ama deneysel bir tedavi için o dönemde 20 bin poundu gözden çıkardığını söyleyebilirim.sonuç olarak, 24 saat benimle olan meret! neyseki kısmen de olsa alışabiliyor insan.",Scientific
21,"yaşlandıkça büzüşen, çirkinleşen bir uzuv( burnun altında çenenin üstünde olandan bahsediyorum). kadınlar bilir, kuaförlerde boydan boya ayna karşısında sıra sıra oturmuş kadınlar saçları yapılırken birbirlerini kaçamak bakışlarla süzerler. saçına ne yaptırıyor, kaşları nasıl, oturduğunda göbeği dışarı pırtlamış mı vesaire vesaire. işte böyle bir çaktırmadan karşılıklı süzüşme seansında fark ettim ki bu organ adeta bir cinsel organ. meme gibi birşey bir yerde. diri ve etli kadın dudağı gerçekten çok güzel şey. güzel renkli bir ruj ile belirginleştirilmelidir.",Unrelated
22,insan vücudunda en hızlı şekilde bölünen bu sayede de yaralanmalarda en hızlı iyileşmelerin görüldüğü epitel hücreleri barındıran doku.,Unrelated
23,şu sıralar müzdarip olduğum hal. sebebini henüz bilmiyorum ama stresten olabilir dedi doktor. umarım öyledir.,Scientific
24,"kulak zarı delindiğinde, kulağın iç kısımlarından alınan işlevsiz ancak kulak zarı yerine geçebilecek bir dokunun kesilerek alınıp kulak zarı üzerine dikilerek zarın tamir edilmesi yöntemi kullanılan ameliyattır. 03.01.2011 tarihinde kulağa tokat atılması sonucu sol kulak zarı delinen ve 28.01.2011 tarihinde bizzat bu ameliyatı olmuş, şu anda evde oturup entry girmekten başka bir işi olmayan bir insan evladı olarak yaşadıklarımı anlatmak istiyorum:öncelikle eğer kulak zarınızın hasar gördüğünü, delindiğini hissediyorsanız ve travma sonrası belirgin bir frekansta duyma kaybınız oluştuysa (örneğin bende bass seslerde inanılmaz bir kayıp vardı) mutlaka ve mutlaka büyük şehirlerdeki özel kulak burun boğaz polikliniklerine giderek sağlıklı bir analiz yaptırmanızı tavsiye ediyorum. travma ilk oluştuğunda öğrenci olarak bulunduğum denizli'deydim ve final dönemlerim başlayacağı için şehri terk edip memleketim izmir'e dönerek adam gibi muayene olamadım. travmadan bir kaç saat sonra pamukkale üniversitesi acil servisine gidip durumu izah ettik, bir kaç muayeneden sonra kulak burun boğaz servisine yönlendirildim. burada kulak zarımın delindiğini ve deliği merhemli kağıtla kapatıp iyileşmesine yardımcı olacaklarını söylediler. tamam diyerek kabul ettim ve bir kaç gün böyle gitti. bir kaç gün sonra doktorlara bass frekansları duyamadığımı söyleyince kağıttan kaynaklanabileceğini düşünerek kağıdı çıkardılar, ancak seslerde bir değişim olmadı.bunun üzerine bana ""demek ki kulağındaki delikle alakalı bir durum değil, travmadan orta kulak sinirlerin zarar görmüş. sinirlerin kendini onarması için kortizon tedavisine başlayacağız."" dediler. ""peki"" dedim ve on günlük işkenceye başladım. her sabah aç karna mide koruyucu ilaç içtim, üstüne kesinlikle içerisinde tuz bulunmayan şeyler bulunan bir kahvaltı yapıp 4 tane tadı iğrenç ötesi olan kortizon hapı içtim. kortizon normalde kilo aldıran bir şeyken tuzsuz yemeye o kadar çok dikkat edip kendimi zorladım ki tedavi sırasında 3 kilo verdim. 10 gün boyunca canımın çektiği hiç bir şeyi yiyemedim, dışarıda yediğim yemekler sadece tuzsuz salata ve sudan ibaret oldu, eklem yerlerimde ağrılar başladı, vücudum güçsüz düştüğü için hayvani bir griple boğuştum, vs. vs... yani anlatmaya çalıştığım şey kortizon tedavisinin benim için çok yıpratıcı ve tam final dönemime denk geldiği için zorlayıcı olduğudur. ve tüm bu tedaviler süresince her kontrole gittiğimde bana deliğin gittikçe kapandığı, iyileşme görüldüğü söyleniyordu, ben de inanıyordum haliyle.final dönemim bitip izmir'e geldiğimde artı kulak burun boğaz'a doğru düzgün ekipmanlarla muayene olmak için gittim ve 15 gün boyunca yok yere işkence çektiğimi anladım, zira kulağımdaki delikte en ufak bir kapanma bile olmamıştı! kulağıma sokulan kamerayla kulak zarımdaki deliğin büyüklüğünü gözlerimle gördüm, ve hemen timpanoplasti'de karar kılındı. şu anda kafam sargılarla evimde oturmaktayım, yakın bir zamanda iyileşmeyi umuyorum.demek istediğim kulak zarınız delindiyse ve bunu hissedip internette araştırma yaparken bu yazıya ulaştıysanız eğer, size tavsiye edeceğim şey şudur: kesinlikle özel bir polikliniğe görünün ve düzgün ekipmanlarla muayene edildiğinize ikna oluncaya dek farklı yerlere muayene olun. zira bilinçsiz doktorların elinde maymun olabiliyorsunuz aksi takdirde.edit:abukkrakerözel mesajla tecrübelerimi yazmamı istedi kendisine. kendisi 3 yıldan sonra ameliyat olacakmış. ona yazdıklarım size de faydalı olur diye buraya kopyalıyorum:*****ben kulak zarı patladıktan hemen 1 ay sonra ameliyat oldum, sizin muhtemelen farklı bir tecrübeniz olacak benimkine nazaran. 1 aya yakın bir süre van gogh gibi gezeceksiniz, kafanızda sargı olacak. öncelikle psikolojik olarak ona bi hazırlanın derim. ameliyat sonrası sızlama ve kaşıntı dayanılmaz olabilecek. kafanızı duvarlara vurmak isteyeceksiniz. ne alaka bilmiyorum ama yataktan kalkarken karnınızı kastığınızda kulağınız çok acıyacak. ilk hafta yataktan yuvarlanarak kalkmak zorunda kalacaksınız. kafanızı da yıkama şansınız olmayacak 1-2 hafta civarı bir süre içerisinde, onu da bilin.onun dışında... bilmiyorum onu yapmak zorundalar mıydı ama kulaktan ayrı bir yerde duran kulak deliği girişindeki o küçük kıkırdağı kesmişler bende. kestikleri bölge ikiye ayrıldı ve o iki parça birbirine hiç kaynamadı. kulağımın arka tarafı komple dikiş izi oldu. ben takmam böyle şeyleri o yüzden sorun olmadı, zaten göstermezseniz fark etmiyor kimse o izi. kulakiçi kulaklık kullanıyorsanız iç kulak basıncınız eskisi gibi olmayacağı için mp3 çalarınızdan balans ayarı değiştirebilirsiniz. uçaklarda ameliyattan önce ağrı sorunu yaşayabiliyordum, ameliyattan sonra hiçbir sıkıntım olmadı. 1 ay sonra kontrollü normal banyo yapabiliyorsunuz, 2 ay sonra denize girebiliyorsunuz. benim şikayetim bass frekansları duyamamaktı ve ameliyattan sonra %100 düzelme oldu çok memnun kaldım. geç kaldığınızda etkisi değişir mi bilmiyorum ama iç kulaktan alınan yedek zar ile işlem yapıldığından bir farkı olacağını düşünmüyorum çok fazla. sizin de sıfır km kulak zarınız olacak yani ameliyatın sonunda :)ilaçları düzenli kullanın ve kulağa su kaçırmama işini gerçekten önemseyin. en hayati olan kısmının su olduğu söylenmişti bana, çünkü direk mikrop kaparmış yara içeride. tekrar ameliyat olmak zorunda kalırsınız öyle bir durumda aman diyim.*****bir de fikir sahibi olunması açısından iki adet caps ekleyeyim de tam olsun :)https://eksiup.com/p/g588902dam53https://eksiup.com/p/jo88901zjxdp",Mixed
25,sabahtan beri canima okuyan illet. yilda birkac kez olmazsa eksik kalirim.erken saatlerde baslayan agri ve ses kisikligi gecmeyince ogleden sonra doktora gittim. sabah aksam icmek uzere 2000 mg 20 kapsul antibiyotik verdi. yanina birkac takviye ilac daha ekledi.yorgan dosek yatmama sebebimin son zamanlarda ictigim multivitaminler oldugunu dusunuyorum.umarim bogazimi kafamdan ayirmadan su agridan kurtulurum.,Mixed
26,bazen beyin kanaması geçirdiğini düşündürten şiddetli ağrı.,Non-scientific
27,nefes almada zorluk cıkararak alt cenenin asagı dogru konumlanip  (posterior  rotasyon)uzun bir ön yüze neden olan durum...,Scientific
28,"zamaninda antin kuntin diye dalga gectigim ancak 3 gundur hayatimi berbat eden sikintidir.sabaha karsi 5'te yatakta donerken yine beyin zonklamasi yaratti ve o saatten beridir youtuber hekimlerin tum videolarini izliyorum. belirtiler kristal kaymasi gibi ve tedavisi kristali yerine getirme manevrasi gibi. o kadar izledim ki kendim evde yapasim var ama gotum yemiyor tabii ki yapmaya. bugun veya yarin acil bir kbb ciye gidip hem kesin teshis hem tedaviyi yaptirmaliyim.(bkz:epley manevrası)bu sekil bir tedaviyiizmirde uygulayabilen uzman onerisi olaniniz varsa, bilgi alabilirsem memnun olurum.edit: teshis tahmin ettigim gibi oldu, pozisyonel vertigo, yani kristaller dolasmaya cikmis! epley manevrasi yapilirken saftim bir daha kaydi. betaserc de kullanacagim ayrica. 1 hafta icinde gecmesini umuyorum , guncellerim.guncelleme: uzman hekim esliginde yaptigimiz epley manevrasi %100 cozdu bendeki sorunu. 3 dakikalik bir tedavi esasinda. 4-5 gun icerisinde azalarak bitiyor. yalniz dogru teshisi koymaniz gerekiyor. benimkisi pozisyonel vertigoydu. aslinda cogunluk vakalar bu sebeptenmis amamenierehastaligi da olabilir ve onun tedavisi daha komplike bir sey.konu hakkinda guzel bilgilendirici videolar var cidden. ben fikrim olusmus sekilde gittim doktora. doktorum da iyiydi zaten. biraz genel fikriniz olusmus sekilde giderseniz daha saglikli olur bence. tamam, doktorlar internetten arastirip muaneye gelip bilmislik yapan hastadan pek haz etmezler ama su vakaya detayli muane yapmadan dumduz betaserc yazip gececek hekimler de malesef var piyasada. aile hekimi filan degil, direkt kbb ye gorunun.",Scientific
29,majezik ve uyku birebir.,Scientific
30,sabahın erken saatlerinde başıma gelen olay.normalde hiç yaşamazdım ama durduk yere burnumdan kan geldi bir anda. gözümde de kırmızı nokta halindeki kanlanma tekrar kendisini gösterdi. biran önce doktora gitme vaktim geldi sanırım.,Scientific
31,"domates, portakal gibi asitli,mısır çerezi, cips gibi aşırı baharatlı yiyeceklerden uzak durursanız aft'ta sizden uzak duracaktır.",Mixed
32,"altta yatan patolojik bir durum yoksa ; behçet hastalığı veya crohn hastalığı gibi genelde immun sistemi baskılanmiş kişilerde ortaya çıkabilir. immun sistemi baskılayan stresör bir faktör olabileceği gibi vitamin , mineral eksiklikleri de olabilir. bazı kişilerde aftların sebebi uyku düzeni bozuklukları olabiliyor. gece uykuyla ortaya çıkan melatonin , steroid , noradrenalin , seratonin salımını baskılar. bu sebepten uyku problemlerinde ortamda yeteri kadar melatonin olmadığından steroidler hakim olur ve immun sistem baskılanır. allta yatan bir pataloji yoksa aft tedavisi semptoma yöneliktir.",Scientific
33,hayatımın bir döneminde sık sık başıma gelirdi. daha sonra diş macunlarının ve bir çok temizlik maddesi içerisinde köpürtücü olarak bulunan sls ve türevlerinin hücre parçalama etkisini öğrendim. sls’siz diş macununa geçtiğimden beri neredeyse 2 senedir bir-iki kere başıma geldi. burda kullandığınız macun ve fırçalama süreniz çok etkili. ağız içi epitele zarar verdiğinizde bağışıklık sisteminizde düşükse kaçınılmaz oluyor.,Scientific
34,"arkadai ne tedavi yöntemleri yazılmış. niye bu kadar kasıyorsunuz?tedavi ve önleyici yöntem bellidoktora gidiyorsun. sana ilaç veriyor, onu kullandıktan sonra kendi vücuduna iyi davranıyorsun bitti.ha bide bazı temizlik malzemelerinden uzak duruyorsun. bazılarına dokunuyor çünkü.bi bilimsel tarifi var mı bilmiyorum ama ben mesela apranax aldığımda uçukla beraber ağzımda aft çıkıyordu. bilen varsa yeşillendirsin.",Non-scientific
35,kisinin surata bakinca ilk bakilan yer.,Unrelated
36,skm kası yüzünden de olabilen durum.,Unrelated
37,"vertigo, vestibüler sistemde(denge sistemi) oluşan hasar sonucu oluşan baş dönmesidir. yükseklik veya korkuyla bir alakası yoktur. çesitli durumlarda kendini gösterebilen hareket halüsinasyonudur.",Scientific
38,gözlem tespit ve analiz kombo insanı..(bkz:#25748345),Unrelated
39,"yıllardır çektiğim bir nefes darlığı vardı. ilk zamanlar bu kadar canımı sıkmayan nefes darlığı, yaşım ilerledikçe sanki biraz daha arttı. merdivenleri rahat çıkamıyor, serbest stil yüzerken rahat nefes alamıyor, gece yatarken ağzım açık uyuyordum. tüm bu yaşadığım sıkıntılara veda etmek için yaşım daha fazla ilerlemeden 20 yaşında bu ameliyatı oldum. burnumda tampon olduğu için şu an rahat nefes alamıyorum. burnumda sürekli sarı-kırmızı renkte akıntı oluyor ama, burnum iyileştikten sonra rahat nefes almanın verdiği haz inanılmaz olacak. cefa çekmeden sefa sürülmüyor. bu günler de geçecek!edit: bugün tamponlarım çıktı. hayatımda hiç alamadığım kadar iyi nefes alıyorum. neredeyse aldığım nefesi boğazımda hissediyorum. çok güzel bir duygu ama, doktor sürekli burnumu nemli tutmam gerektiğini söyledi. burnumun içindeki etler yakıldığı için nemlendirme can yakıcı olabiliyor. bu günler de geçecek!edit: bugün doktora tekrar gittim, burnumun içindeki yakılan etlerin oluşturduğu kabuklanmalar temizlendi. doktor bey bu kez teçhizatlı gelmiş. tabii ilk kontrolde koltukta zıpladığım ve onu engellediğim için ben de doktor olsaydım aynı reaksiyonu gösterirdim. bu kontrolde kabuklanmalar temizlenirken burnumu uyuşturduğu için canım çok acımadı. haftaya son kontrolüme gideceğim. ayrıca kabuklanmalar temizlenirken acıya dayanıklı insanların canının çok acıyacağını düşünmüyorum. ben biraz acıya dayanıksızım.edit: bugün üçüncü ve son kontrolüme gittim. doktor burnumun içinden burnumun büyüklüğü kadar sümüğümsü bir parça çıkardı. o parçanın burnumdan çıkması ile biraz daha rahatladım. her sümkürdüğümde koca koca sümükler çıkıyor burnumlar. çok iyi hissediyorum.",Scientific
40,"2 yıl önce tanıştık hastalığın kendisiyle.ya baş dönmesini falan geçiyorum. sinir, agresiflik, sosyalleşme, spor, yemek, uyku vs. nerede dengen varsa hepsini bir çırpıda alıp gidiyor bu hastalık. kbb ve nörolojiden de olumlu sonuç sonrası ki benden aldıkları bunlardı bir de olumsuz sonuç olup kristallerin tamamen dağılmış olmasını düşünemiyorum bile. 6 ay düzenli olarakbetaserckullandım ve hastalıktan kurtuldum.kurtulunca hayatın sana daha güzel davrandığını anlıyorsun. eski agresifli insan gidip yerine sakin birisi geliyor.ama 2 yıl sonra bugün tekrardan başladı.2 - 3 gündür sürekli uykumun gelmesi ve tekrardan baş ağrılarından anlamıştım ki doktora nöbet geçirmeden kristaller zarar görmeden erkenden gittim ve tekrardan ilaç tedavisine başladım.arabesk müzikten nefret ederim,şuan metin ışık dinliyorum.zevkin adını aşk koydunuzona da yatakta doydunuzsevgi diye bir mutluluk vardıonunda amına koydunuz hehehhehe.bakın bu ben degilim, bu vertigonun bana getirdikleri.(dengesizlik)",Non-scientific
41,"2 gün önce yemek yerken alt dudağımı ısırmamla ortaya çıkan şu an ağrısı çeneme ve göğsüme kadar vuran illet.konuşturmuyor, yemek yedirmiyor ne pis şeymişsin be! ağzımı dudağımı oynatıp duruyorum tik oluşmasa bari.",Scientific
